sales_order_id,date_key,store_key,product_key,channel,quantity,gross_amount,discount_amount,net_amount,cost_amount
100001,2024-01-01,1,1,Delivery,2,5.5,0.0,5.5,1.4
100002,2024-01-01,1,10,In Store,1,3.95,0.0,3.95,1.4
100003,2024-01-01,1,3,In Store,1,4.25,0.0,4.25,1.2
100004,2024-01-01,1,9,In Store,1,3.4,0.0,3.4,1.1
100005,2024-01-01,1,8,Mobile Order,1,3.2,0.0,3.2,0.6
100006,2024-01-01,1,7,In Store,1,4.75,0.95,3.8,1.35
100007,2024-01-01,1,10,In Store,1,3.95,0.4,3.55,1.4
100008,2024-01-01,1,7,In Store,1,4.75,0.48,4.27,1.35
100009,2024-01-01,1,7,Mobile Order,2,9.5,0.0,9.5,2.7
100010,2024-01-01,1,9,Delivery,1,3.4,0.0,3.4,1.1
100011,2024-01-01,1,5,Mobile Order,2,8.2,0.82,7.38,2.3
100012,2024-01-01,1,7,In Store,1,4.75,0.0,4.75,1.35
100013,2024-01-01,1,2,In Store,2,7.0,0.0,7.0,1.9
100014,2024-01-01,1,10,In Store,1,3.95,0.0,3.95,1.4
100015,2024-01-01,1,1,In Store,2,5.5,0.0,5.5,1.4
100016,2024-01-01,1,5,In Store,1,4.1,0.0,4.1,1.15
100017,2024-01-01,1,5,Mobile Order,2,8.2,0.0,8.2,2.3
100018,2024-01-01,2,8,In Store,1,3.2,0.0,3.2,0.6
100019,2024-01-01,2,3,In Store,1,4.25,0.0,4.25,1.2
100020,2024-01-01,2,8,Mobile Order,1,3.2,0.0,3.2,0.6
100021,2024-01-01,2,7,Mobile Order,1,4.75,0.0,4.75,1.35
100022,2024-01-01,2,2,Mobile Order,1,3.5,0.0,3.5,0.95
100023,2024-01-01,2,8,In Store,1,3.2,0.0,3.2,0.6
100024,2024-01-01,2,8,Mobile Order,1,3.2,0.0,3.2,0.6
100025,2024-01-01,2,4,Delivery,1,5.1,0.0,5.1,1.45
100026,2024-01-01,2,1,In Store,1,2.75,0.0,2.75,0.7
100027,2024-01-01,2,10,In Store,1,3.95,0.0,3.95,1.4
100028,2024-01-01,2,10,In Store,4,15.8,0.0,15.8,5.6
100029,2024-01-01,3,2,In Store,1,3.5,0.0,3.5,0.95
100030,2024-01-01,3,1,In Store,1,2.75,0.0,2.75,0.7
100031,2024-01-01,3,3,In Store,2,8.5,0.85,7.65,2.4
100032,2024-01-01,3,3,Mobile Order,3,12.75,0.0,12.75,3.6
100033,2024-01-01,3,9,Mobile Order,1,3.4,0.0,3.4,1.1
100034,2024-01-01,3,2,In Store,1,3.5,0.0,3.5,0.95
100035,2024-01-01,3,9,In Store,2,6.8,0.0,6.8,2.2
100036,2024-01-01,3,5,In Store,1,4.1,0.0,4.1,1.15
100037,2024-01-01,3,8,In Store,1,3.2,0.64,2.56,0.6
100038,2024-01-01,4,6,In Store,1,4.6,0.0,4.6,1.3
100039,2024-01-01,4,8,Mobile Order,1,3.2,0.0,3.2,0.6
100040,2024-01-01,4,10,In Store,2,7.9,0.0,7.9,2.8
100041,2024-01-01,4,4,Mobile Order,2,10.2,0.0,10.2,2.9
100042,2024-01-01,4,2,In Store,2,7.0,1.4,5.6,1.9
100043,2024-01-01,4,10,Mobile Order,1,3.95,0.4,3.55,1.4
100044,2024-01-01,4,2,Mobile Order,1,3.5,0.0,3.5,0.95
100045,2024-01-01,4,3,In Store,1,4.25,0.0,4.25,1.2
100046,2024-01-01,4,11,Mobile Order,1,6.5,0.0,6.5,2.6
100047,2024-01-01,4,3,Mobile Order,1,4.25,0.0,4.25,1.2
100048,2024-01-01,4,8,In Store,1,3.2,0.0,3.2,0.6
100049,2024-01-01,4,3,Delivery,3,12.75,0.0,12.75,3.6
100050,2024-01-01,5,4,In Store,1,5.1,0.0,5.1,1.45
100051,2024-01-01,5,3,Mobile Order,1,4.25,0.0,4.25,1.2
100052,2024-01-01,5,2,In Store,1,3.5,0.0,3.5,0.95
100053,2024-01-01,5,4,In Store,1,5.1,0.0,5.1,1.45
100054,2024-01-01,6,8,In Store,1,3.2,0.0,3.2,0.6
100055,2024-01-01,6,7,Delivery,1,4.75,0.0,4.75,1.35
100056,2024-01-01,6,2,Mobile Order,1,3.5,0.0,3.5,0.95
100057,2024-01-01,6,4,Delivery,2,10.2,0.0,10.2,2.9
100058,2024-01-01,6,11,In Store,1,6.5,0.0,6.5,2.6
100059,2024-01-01,6,1,Delivery,2,5.5,1.1,4.4,1.4
100060,2024-01-01,6,3,Mobile Order,2,8.5,0.0,8.5,2.4
100061,2024-01-01,6,5,In Store,1,4.1,0.0,4.1,1.15
100062,2024-01-01,6,5,In Store,1,4.1,0.0,4.1,1.15
100063,2024-01-01,6,9,In Store,1,3.4,0.0,3.4,1.1
100064,2024-01-01,6,7,In Store,1,4.75,0.0,4.75,1.35
100065,2024-01-01,6,5,Mobile Order,4,16.4,0.0,16.4,4.6
100066,2024-01-01,6,7,In Store,1,4.75,0.0,4.75,1.35
100067,2024-01-01,6,10,In Store,1,3.95,0.0,3.95,1.4
100068,2024-01-01,6,7,Mobile Order,1,4.75,0.48,4.27,1.35
100069,2024-01-01,7,2,In Store,4,14.0,0.0,14.0,3.8
100070,2024-01-01,7,9,Mobile Order,2,6.8,0.0,6.8,2.2
100071,2024-01-01,7,6,In Store,1,4.6,0.0,4.6,1.3
100072,2024-01-01,7,4,In Store,1,5.1,0.0,5.1,1.45
100073,2024-01-01,7,7,In Store,1,4.75,0.0,4.75,1.35
100074,2024-01-01,7,6,In Store,1,4.6,0.0,4.6,1.3
100075,2024-01-01,7,9,In Store,1,3.4,0.34,3.06,1.1
100076,2024-01-01,7,1,In Store,1,2.75,0.0,2.75,0.7
100077,2024-01-01,7,5,In Store,2,8.2,0.0,8.2,2.3
100078,2024-01-01,8,1,Delivery,1,2.75,0.28,2.47,0.7
100079,2024-01-01,8,12,In Store,1,16.0,0.0,16.0,7.5
100080,2024-01-01,8,5,Delivery,2,8.2,0.0,8.2,2.3
100081,2024-01-01,8,2,Mobile Order,1,3.5,0.35,3.15,0.95
100082,2024-01-01,8,3,In Store,1,4.25,0.0,4.25,1.2
100083,2024-01-02,1,3,In Store,1,4.25,0.0,4.25,1.2
100084,2024-01-02,1,1,Mobile Order,1,2.75,0.0,2.75,0.7
100085,2024-01-02,1,6,Mobile Order,1,4.6,0.0,4.6,1.3
100086,2024-01-02,1,2,In Store,2,7.0,0.0,7.0,1.9
100087,2024-01-02,1,2,In Store,4,14.0,0.0,14.0,3.8
100088,2024-01-02,1,3,In Store,1,4.25,0.0,4.25,1.2
100089,2024-01-02,1,10,Mobile Order,2,7.9,0.0,7.9,2.8
100090,2024-01-02,1,3,In Store,1,4.25,0.0,4.25,1.2
100091,2024-01-02,1,6,In Store,1,4.6,0.0,4.6,1.3
100092,2024-01-02,1,12,In Store,1,16.0,0.0,16.0,7.5
100093,2024-01-02,1,5,In Store,1,4.1,0.0,4.1,1.15
100094,2024-01-02,1,6,In Store,1,4.6,0.46,4.14,1.3
100095,2024-01-02,1,10,In Store,1,3.95,0.0,3.95,1.4
